publicationYear,publicationPeriod,Autres_essais,Autres_essaisCount
1798,1798,http://e-editiones.ch/project/data/delille#work-williamsnouveauvoyage,1
1800,1800,http://e-editiones.ch/project/data/delille#work-aleaantidote,5
1802,1802,http://e-editiones.ch/project/data/delille#work-observateurvoyages,15
1805,1805,http://e-editiones.ch/project/data/delille#work-nachrichtenrusslandunter,2
1806,1806,http://e-editiones.ch/project/data/delille#work-raymondlettre,96
1809,1809,http://e-editiones.ch/project/data/delille#work-suitelivremelangesphilosophiques,6
1819,1819,http://e-editiones.ch/project/data/delille#work-waringtraveller,22
1820,1820,http://e-editiones.ch/project/data/delille#work-aanteekeningen,1
1822,1822,http://e-editiones.ch/project/data/delille#work-dauxpetitshommes,1
1822,1822,http://e-editiones.ch/project/data/delille#work-fremontgarnierlettres,1
1822,1822,http://e-editiones.ch/project/data/delille#work-larueletters,7
1822,1822,http://e-editiones.ch/project/data/delille#work-laruelettres,7
1822,1822,http://e-editiones.ch/project/data/delille#work-richerclisson,1
1823,1823,http://e-editiones.ch/project/data/delille#work-vayssedevilliersitineraire,1
1828,1828,http://e-editiones.ch/project/data/delille#work-bertolottiviaggio,9
1829,1829-1830,http://e-editiones.ch/project/data/delille#work-martinhermite,4
1835,1835,http://e-editiones.ch/project/data/delille#work-beattieswitzerland,20
1836,1836,http://e-editiones.ch/project/data/delille#work-beattiesuisse,22
1837,1837,http://e-editiones.ch/project/data/delille#work-blandinechodesvallees,2
1837,1837,http://e-editiones.ch/project/data/delille#work-clercguide,41
1839,1839,http://e-editiones.ch/project/data/delille#work-hammerperegrinazione,9
1839,1839,http://e-editiones.ch/project/data/delille#work-michelvichy,5
1841,1841,http://e-editiones.ch/project/data/delille#work-sailletenfans,8
1844,1844,http://e-editiones.ch/project/data/delille#work-mcreuxrevuesuisse,1
1845,1845,http://e-editiones.ch/project/data/delille#work-delilleallomfrance,10
1851,1851,http://e-editiones.ch/project/data/delille#work-beliardjournaldesvilles,8
1852,1852,http://e-editiones.ch/project/data/delille#work-beginvoyage,7
1857,1857,http://e-editiones.ch/project/data/delille#work-sergentenfants,2
1866,1866,http://e-editiones.ch/project/data/delille#work-gaychats,30
1874,1874,http://e-editiones.ch/project/data/delille#work-roththoune,3
1897,1897,http://e-editiones.ch/project/data/delille#work-chasteignergazettebiarritz,2
1897,1897,http://e-editiones.ch/project/data/delille#work-duboisdesilesvelo,2
1899,1899,http://e-editiones.ch/project/data/delille#work-harraumalo,2
1899,1899,http://e-editiones.ch/project/data/delille#work-rocafortrevuedumidi,1
