publicationYear,publicationPeriod,Textes_en_vers,Textes_en_versCount
1804,1804,http://e-editiones.ch/project/data/delille#work-kraanelitterature,4
1806,1806,http://e-editiones.ch/project/data/delille#work-tardieucharles,1
1808,1808,http://e-editiones.ch/project/data/delille#work-delilletroisregnes,2
1822,1822,http://e-editiones.ch/project/data/delille#work-nessais,2
1823,1823,http://e-editiones.ch/project/data/delille#work-diablereminiscences,1
1825,1825,http://e-editiones.ch/project/data/delille#work-dennebaronfleurspoetiques,50
1831,1831,http://e-editiones.ch/project/data/delille#work-petitsennpaysages,1
1833,1833,http://e-editiones.ch/project/data/delille#work-montherotmemoires,1
1838,1838,http://e-editiones.ch/project/data/delille#work-gautiercomedie,1
1847,1847,http://e-editiones.ch/project/data/delille#work-parmenidesolaskaris,2
1856,1856,http://e-editiones.ch/project/data/delille#work-ducondutessai,1
1857,1857,http://e-editiones.ch/project/data/delille#work-boulmierrimes,1
1880,1880,http://e-editiones.ch/project/data/delille#work-lebrunsymphonie,1
1890,1890,http://e-editiones.ch/project/data/delille#work-quincampoixmer,2
1890,1890,http://e-editiones.ch/project/data/delille#work-rainguetoeuvres,1
