publicationYear,publicationPeriod,Dictionnaires,Anthologies_et_manuels,Science_et_vulgarisation,Autres,Textes_en_vers,Roman___récit_fictionnel,Esthétique___poétique___histoire_littéraire,Mémoires___biographies___histoire___etc,Autres_essais,Ouvrages_littéraires
,,0,0,4,0,0,0,0,0,0,0
1798,1798,0,0,0,0,0,0,0,0,1,1
1800,1800,0,0,19,0,0,0,490,15,5,510
1801,1801,0,0,18,0,0,0,3,2,0,5
1802,1802-1806,0,0,9,0,0,0,0,0,0,0
1802,1802,0,1,29,0,0,0,55,29,15,99
1803,1803,0,600,28,0,0,0,4,0,0,4
1804,1804,0,0,2,0,4,0,0,0,0,4
1804,1804-1806,19,0,0,0,0,0,0,0,0,0
1805,1805,0,3,0,0,0,0,0,0,2,2
1806,1806,0,0,5,0,1,0,0,0,96,97
1807,1807,0,44,0,0,0,9,0,0,0,9
1808,1808,0,40,0,0,2,0,0,1,0,3
1809,1809,0,0,0,0,0,0,0,0,6,6
1810,1810,0,0,1,0,0,0,0,0,0,0
1811,1811,0,2,0,0,0,0,14,15,0,29
1812,1812,0,48,9,0,0,0,0,0,0,0
1813,1813,0,0,2,0,0,0,0,0,0,0
1814,1814,0,7,13,0,0,0,3,0,0,3
1815,1815,0,8,25,0,0,0,0,0,0,0
1816,1816,0,0,0,0,0,0,17,13,0,30
1817,1817,0,0,4,0,0,0,0,4,0,4
1818,1818,39,0,0,0,0,0,0,20,0,20
1819,1819,7,2,28,0,0,0,0,0,22,22
1820,1820,0,0,9,0,0,0,0,0,1,1
1821,1821,0,2,20,0,0,0,0,0,0,0
1822,1822,92,166,8,2,2,0,0,1,17,20
1823,1823,0,0,4,0,1,0,0,0,1,2
1824,1824-1829,0,0,0,52,0,0,0,0,0,0
1824,1824-1827,0,67,0,0,0,0,0,0,0,0
1824,1824,0,151,55,0,0,0,0,0,0,0
1825,1825,0,0,7,0,50,0,51,0,0,101
1826,1826,0,43,39,52,0,0,0,8,0,8
1827,1827,0,0,74,0,0,0,0,0,0,0
1828,1828,0,0,26,0,0,0,0,52,9,61
1829,1829,0,0,0,0,0,0,4,0,0,4
1829,1829-1830,0,0,6,0,0,0,0,0,4,4
1830,1830,0,0,0,0,0,0,0,1,0,1
1831,1831,0,0,0,0,1,0,0,0,0,1
