stropheOrdinalNumeral,verseOrdinalNumeral,citationYear,authorPerson,work,manOfLettersCount,vulgarizerCount,artistCount,otherRoleCount,allRoles
1,1,1801,_:genid-29916f6dc9654d2cb60d6184af09222e-t_400,http://e-editiones.ch/project/data/delille#work-maundemonthlyreview,0,0,0,0,0
1,1,1822,http://e-editiones.ch/project/data/delille#person-carpentier,http://e-editiones.ch/project/data/delille#work-carpentiergradus,1,0,0,0,1
1,1,1800,http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1,0,0,0,1
1,1,1800,http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1,0,0,0,1
1,1,1808,http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,0,0,0,1,1
1,1,1803,http://e-editiones.ch/project/data/delille#person-levizac,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,1,1803,http://e-editiones.ch/project/data/delille#person-moysant,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,1,1853,http://e-editiones.ch/project/data/delille#person-theil,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,1,0,0,0,1
1,1,1801,http://e-editiones.ch/project/data/delille#person-vidal,http://e-editiones.ch/project/data/delille#work-vidalexamenimpartial,1,0,0,0,1
1,2,1801,_:genid-29916f6dc9654d2cb60d6184af09222e-t_400,http://e-editiones.ch/project/data/delille#work-maundemonthlyreview,0,0,0,0,0
1,2,1822,http://e-editiones.ch/project/data/delille#person-carpentier,http://e-editiones.ch/project/data/delille#work-carpentiergradus,1,0,0,0,1
1,2,1800,http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1,0,0,0,1
1,2,1800,http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1,0,0,0,1
1,2,1808,http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,0,0,0,1,1
1,2,1803,http://e-editiones.ch/project/data/delille#person-levizac,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,2,1803,http://e-editiones.ch/project/data/delille#person-moysant,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,2,1853,http://e-editiones.ch/project/data/delille#person-theil,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,1,0,0,0,1
