authorPerson,work,citationYear,familyName,givenName,name,birthYear,deathYear
_:genid-29916f6dc9654d2cb60d6184af09222e-t_3,http://e-editiones.ch/project/data/delille#work-chrestomathie,1832,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_400,http://e-editiones.ch/project/data/delille#work-maundemonthlyreview,1801,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_401,http://e-editiones.ch/project/data/delille#work-stammbuch,1850,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_402,http://e-editiones.ch/project/data/delille#work-compterendumercurelondres,1800,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_403,http://e-editiones.ch/project/data/delille#work-compterendumonthlyreview,1800,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_405,http://e-editiones.ch/project/data/delille#work-delillerecueilgiguet,1800,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_406,http://e-editiones.ch/project/data/delille#work-compterenduspectateurdunord,1800,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_407,http://e-editiones.ch/project/data/delille#work-parisanonymhomme,1800,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_408,http://e-editiones.ch/project/data/delille#work-suitelivremelangesphilosophiques,1809,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_409,http://e-editiones.ch/project/data/delille#work-amireligionraynal,1817,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_410,http://e-editiones.ch/project/data/delille#work-crhetbuitenlevenalgemeenekonst,1803,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_411,http://e-editiones.ch/project/data/delille#work-sciencecorsaire,1827,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_412,http://e-editiones.ch/project/data/delille#work-boettigerspectateurdunord,1797,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_413,http://e-editiones.ch/project/data/delille#work-litteraturerepublicainfrancais,1797,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_414,http://e-editiones.ch/project/data/delille#work-aanteekeningen,1820,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_415,http://e-editiones.ch/project/data/delille#work-litteraturedesdames,1812,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_416,http://e-editiones.ch/project/data/delille#work-crdoeringwegweiser,1823,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_417,http://e-editiones.ch/project/data/delille#work-vieparisienneperiphrases,1887,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_418,http://e-editiones.ch/project/data/delille#work-nachrichtenrusslandunter,1805,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_419,http://e-editiones.ch/project/data/delille#work-crveldeling2algemeenekonst,1803,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_420,http://e-editiones.ch/project/data/delille#work-autincompterendudelille,1801,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_421,http://e-editiones.ch/project/data/delille#work-societes_journaldelaville,1789,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_422,http://e-editiones.ch/project/data/delille#work-mountjuranewmonthlymagazine,1869,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_423,http://e-editiones.ch/project/data/delille#work-dufourwilliam,1879,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_425,http://e-editiones.ch/project/data/delille#work-petitdictionnaireclassique,1827,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_427,http://e-editiones.ch/project/data/delille#work-anonymeviebonnat,1883,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_428,http://e-editiones.ch/project/data/delille#work-compterendubulletinuniversel,1800,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_429,http://e-editiones.ch/project/data/delille#work-crveldelingbuitenlevenvaderlansche,1803,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_430,http://e-editiones.ch/project/data/delille#work-anonymesouvenirssaintemenehould,1844,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_432,http://e-editiones.ch/project/data/delille#work-mercurebelgecrdubois,1818,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_433,http://e-editiones.ch/project/data/delille#work-litteraturecorsaire,1826,,,,,
_:genid-29916f6dc9654d2cb60d6184af09222e-t_434,http://e-editiones.ch/project/data/delille#work-literaturebellsweekly,1801,,,,,
http://e-editiones.ch/project/data/delille#person-albert,http://e-editiones.ch/project/data/delille#work-albertlitterature19,1882,Albert,Paul,,,
http://e-editiones.ch/project/data/delille#person-alea,http://e-editiones.ch/project/data/delille#work-aleaantidote,1800,Aléa,Léonard,,,
http://e-editiones.ch/project/data/delille#person-andrie,http://e-editiones.ch/project/data/delille#work-andrielectures,1859,Andrié,Jean-François-Daniel,,,
http://e-editiones.ch/project/data/delille#person-anot,http://e-editiones.ch/project/data/delille#work-anotmalfillatredeuxvoyageurs,1802,Anot,Pierre-Nicolas,,,
http://e-editiones.ch/project/data/delille#person-arcade,http://e-editiones.ch/project/data/delille#work-arcadephilosophie,1820,,,Arcade,,
http://e-editiones.ch/project/data/delille#person-asseline,http://e-editiones.ch/project/data/delille#work-asseline_victor_hugo_intime_1885,1885,Asseline,Alfred,,,
http://e-editiones.ch/project/data/delille#person-augedelassus,http://e-editiones.ch/project/data/delille#work-augedelassustravauxsaintquentin,1858,,,Augé de Lassus,,
